"card_present_flag","account","txn_description","first_name","balance","date","gender","age","merchant_suburb","merchant_state","amount","customer_id","Tstamp"
"1","ACC-4258502723","SALES-POS","Kimberly",698.61,2018-08-01,"F",24,"Doncaster","VIC",9.67,"CUS-3378712515",2018-08-01 09:23:09
"1","ACC-3100725361","POS","Ronald",2086.31,2018-08-01,"M",25,"Smithfield","QLD",4.38,"CUS-2178051368",2018-08-01 09:27:12
"1","ACC-1990648130","POS","Kaitlyn",1689.89,2018-08-01,"F",21,"Alstonville","NSW",28.49,"CUS-809013380",2018-08-01 09:39:21
"1","ACC-1990648130","POS","Kaitlyn",1675.46,2018-08-01,"F",21,"Leonora","WA",14.43,"CUS-809013380",2018-08-01 09:43:24
"1","ACC-2673069055","SALES-POS","Richard",11438.51,2018-08-01,"M",24,"Greenslopes","QLD",87.03,"CUS-51506836",2018-08-01 09:47:26
"1","ACC-154431271","POS","Lori",38.42,2018-08-01,"F",18,"Browns Plains","QLD",36.28,"CUS-3702001629",2018-08-01 09:51:29
"0","ACC-3689607373","POS","Virginia",1089.59,2018-08-01,"F",20,"West Perth","WA",15.91,"CUS-127297539",2018-08-01 09:55:32
"1","ACC-721712940","POS","Andrew",49756.21,2018-08-01,"M",78,"Preston","VIC",25.7,"CUS-1646183815",2018-08-01 09:59:35
"1","ACC-1683215619","SALES-POS","Barry",301.65,2018-08-01,"M",38,"Bomaderry","NSW",20.43,"CUS-1604596597",2018-08-01 10:12:51
"0","ACC-2901672282","SALES-POS","Daniel",1290.08,2018-08-01,"M",22,"Sydney","NSW",31.62,"CUS-1617121891",2018-08-01 10:27:08
"1","ACC-1652235822","SALES-POS","Renee",18784.07,2018-08-01,"F",38,"Doncaster","VIC",16.13,"CUS-2206365095",2018-08-01 10:41:25
"1","ACC-2615038700","POS","Emily",29645.42,2018-08-01,"F",43,"Dandenong South","VIC",937.73,"CUS-3255104878",2018-08-01 10:55:42
"1","ACC-602667573","POS","Michael",454.94,2018-08-01,"M",40,"Margaret River","WA",11.64,"CUS-2031327464",2018-08-01 11:04:45
"1","ACC-414431115","POS","Amy",27.86,2018-08-01,"F",43,"Robinvale","VIC",28,"CUS-2599279756",2018-08-01 11:11:33
"1","ACC-1243371644","POS","Gregory",689.22,2018-08-01,"M",42,"Chatswood","NSW",64.98,"CUS-3904958894",2018-08-01 11:18:22
"1","ACC-602667573","SALES-POS","Michael",440.66,2018-08-01,"M",40,"Chatswood","NSW",14.28,"CUS-2031327464",2018-08-01 11:25:10
"1","ACC-2615038700","SALES-POS","Emily",29143.75,2018-08-01,"F",43,"Mossman Gorge","QLD",501.67,"CUS-3255104878",2018-08-01 11:31:58
"1","ACC-1334819143","POS","Christopher",58154.74,2018-08-01,"M",33,"Rockbank","VIC",17.97,"CUS-3117610635",2018-08-01 11:38:46
"0","ACC-4258502723","POS","Kimberly",589.1,2018-08-01,"F",24,"Sydney","NSW",109.51,"CUS-3378712515",2018-08-01 11:45:34
"0","ACC-3100725361","POS","Ronald",2058.92,2018-08-01,"M",25,"Cobram","VIC",27.39,"CUS-2178051368",2018-08-01 11:52:22
"1","ACC-3541460373","POS","Jeffrey",1109.58,2018-08-01,"M",24,"Kilsyth","VIC",27.39,"CUS-1433879684",2018-08-01 11:59:11
"1","ACC-2249586092","POS","Edward",4172.16,2018-08-01,"M",19,"Ceduna","SA",3.28,"CUS-443776336",2018-08-01 12:15:26
"1","ACC-3827517394","POS","Craig",30163.44,2018-08-01,"M",28,"Bass Hill","NSW",33.45,"CUS-2663907001",2018-08-01 12:50:31
"0","ACC-2615038700","POS","Emily",29128.11,2018-08-01,"F",43,"Lara","VIC",15.64,"CUS-3255104878",2018-08-01 13:45:33
"1","ACC-1799207998","POS","Susan",119.88,2018-08-01,"F",20,"Minchinbury","NSW",17.26,"CUS-164374203",2018-08-01 14:01:55
"0","ACC-4258502723","SALES-POS","Kimberly",538.85,2018-08-01,"F",24,"Melbourne","VIC",50.25,"CUS-3378712515",2018-08-01 14:10:42
"1","ACC-958000567","POS","Sandra",486.68,2018-08-01,"F",34,"Stuart Park","NT",22.25,"CUS-4142663097",2018-08-01 14:19:28
"1","ACC-1037050564","SALES-POS","Rhonda",2029.05,2018-08-01,"F",40,"Port Macquarie","NSW",11.05,"CUS-1614226872",2018-08-01 14:28:14
"1","ACC-1710017148","POS","Michelle",1609.16,2018-08-01,"F",19,"Blacktown","NSW",16.18,"CUS-883482547",2018-08-01 14:37:01
"0","ACC-602667573","SALES-POS","Michael",429.2,2018-08-01,"M",40,"Brookvale","NSW",11.46,"CUS-2031327464",2018-08-01 14:45:47
"0","ACC-819621312","POS","Michele",86.3,2018-08-01,"F",30,"Windsor","VIC",5.29,"CUS-1271030853",2018-08-01 15:02:21
"1","ACC-1710017148","SALES-POS","Michelle",1602.58,2018-08-01,"F",19,"Hurstville","NSW",6.58,"CUS-883482547",2018-08-01 15:08:34
"1","ACC-1973887809","SALES-POS","Antonio",713.56,2018-08-01,"M",26,"O'connor","WA",16.03,"CUS-1646621553",2018-08-01 15:27:12
"1","ACC-1516130869","POS","Jessica",143.4,2018-08-01,"F",21,"Coconut Grove","NT",32.41,"CUS-325142416",2018-08-01 15:33:24
"1","ACC-966140392","SALES-POS","Joseph",750.75,2018-08-01,"M",21,"Wheelers Hill","VIC",12.89,"CUS-537508723",2018-08-01 15:39:37
"1","ACC-1973887809","POS","Antonio",697.46,2018-08-01,"M",26,"Taree","NSW",16.1,"CUS-1646621553",2018-08-01 15:45:50
"1","ACC-1056639002","SALES-POS","Michael",39595.08,2018-08-01,"M",22,"Carlton North","VIC",39.92,"CUS-3462882033",2018-08-01 15:52:02
"1","ACC-1279356312","POS","Tyler",1082.64,2018-08-01,"M",44,"Doncaster East","VIC",8.1,"CUS-1892177589",2018-08-01 15:58:15
"1","ACC-1608363396","POS","Robert",1691.91,2018-08-01,"M",20,"Newtown","NSW",13.52,"CUS-2688605418",2018-08-01 16:12:00
"0","ACC-1799207998","POS","Susan",43.06,2018-08-01,"F",20,"Brookvale","NSW",76.82,"CUS-164374203",2018-08-01 16:28:40
"0","ACC-3879258709","POS","Natasha",186344.95,2018-08-01,"F",40,"Ballarat","VIC",26.91,"CUS-527400765",2018-08-01 16:45:20
"0","ACC-854938045","POS","James",6941.78,2018-08-01,"M",28,"Junee","NSW",22.59,"CUS-4023861240",2018-08-01 17:01:07
"1","ACC-1279356312","SALES-POS","Tyler",1067.36,2018-08-01,"M",44,"Reservoir","VIC",15.28,"CUS-1892177589",2018-08-01 17:10:33
"1","ACC-574997646","SALES-POS","Mackenzie",189.55,2018-08-01,"F",18,"Robertson","SA",5.62,"CUS-586638664",2018-08-01 17:20:00
"1","ACC-1443681913","SALES-POS","Ryan",492.41,2018-08-01,"M",31,"Haymarket","NSW",93.79,"CUS-3129499595",2018-08-01 17:38:52
"1","ACC-1650504218","SALES-POS","Marissa",2025.72,2018-08-01,"F",23,"Croydon","VIC",14.86,"CUS-2500783281",2018-08-01 17:48:18
"1","ACC-958000567","SALES-POS","Sandra",468.09,2018-08-01,"F",34,"Yarrawonga","NT",18.59,"CUS-4142663097",2018-08-01 17:57:44
"1","ACC-1598451071","POS","Diana",1006.85,2018-08-01,"F",26,"Bundall","QLD",10.67,"CUS-2487424745",2018-08-01 18:19:29
"0","ACC-90814749","SALES-POS","Christopher",6022.68,2018-08-01,"M",35,"Peterborough","SA",19.58,"CUS-1896554896",2018-08-01 18:45:07
"1","ACC-964839203","SALES-POS","Michael",27984.9,2018-08-01,"M",21,"Lavington","NSW",26.75,"CUS-2059096722",2018-08-01 19:04:09
"1","ACC-80388494","POS","Dustin",823.53,2018-08-01,"M",28,"Docklands","VIC",9.21,"CUS-1140341822",2018-08-01 19:14:03
"1","ACC-3485804958","POS","Jessica",16421.78,2018-08-01,"F",34,"North Wagga Wagga","NSW",11.54,"CUS-1196156254",2018-08-01 19:23:57
"0","ACC-1598451071","SALES-POS","Diana",995.57,2018-08-01,"F",26,"Elanora","QLD",11.28,"CUS-2487424745",2018-08-01 19:33:51
"1","ACC-964839203","SALES-POS","Michael",27953.53,2018-08-01,"M",21,"North Ward","QLD",31.37,"CUS-2059096722",2018-08-01 19:43:45
"1","ACC-3881031190","POS","Richard",445.04,2018-08-01,"M",37,"Bucasia","QLD",23.86,"CUS-3201519139",2018-08-01 19:53:39
"1","ACC-1037050564","SALES-POS","Rhonda",1963.94,2018-08-01,"F",40,"Brisbane Airport","QLD",65.11,"CUS-1614226872",2018-08-01 20:09:28
"0","ACC-854938045","SALES-POS","James",6924.65,2018-08-01,"M",28,"Seven Mile Beach","TAS",17.13,"CUS-4023861240",2018-08-01 20:35:47
"1","ACC-1217063613","SALES-POS","Kimberly",34.97,2018-08-01,"F",27,"Tullamarine","VIC",7.29,"CUS-1739931018",2018-08-01 21:01:28
"1","ACC-3771436525","POS","Derek",614.93,2018-08-01,"M",20,"Camberwell","VIC",27.82,"CUS-3325710106",2018-08-01 21:19:59
"0","ACC-1598451071","POS","Diana",986.58,2018-08-01,"F",26,"Elanora","QLD",8.99,"CUS-2487424745",2018-08-01 21:38:31
"0","ACC-1683215619","POS","Barry",279.86,2018-08-01,"M",38,"Yass","NSW",21.79,"CUS-1604596597",2018-08-01 21:57:02
"1","ACC-1598451071","POS","Diana",976.26,2018-08-01,"F",26,"Labrador","QLD",10.32,"CUS-2487424745",2018-08-01 22:25:27
"1","ACC-2897221629","POS","Scott",94.45,2018-08-01,"M",23,"Yagoona","NSW",19.04,"CUS-511326734",2018-08-01 22:55:45
"1","ACC-964839203","SALES-POS","Michael",27923.06,2018-08-02,"M",21,"Docklands","VIC",30.47,"CUS-2059096722",2018-08-02 00:05:27
"0","ACC-3689607373","SALES-POS","Virginia",1074.43,2018-08-02,"F",20,"Rockingham","WA",15.16,"CUS-127297539",2018-08-02 00:50:54
"1","ACC-1496451953","POS","Ricky",163.59,2018-08-02,"M",43,"Taylors Lakes","VIC",10.07,"CUS-3142625864",2018-08-02 01:15:05
"1","ACC-588564840","SALES-POS","Isaiah",8306.12,2018-08-02,"M",23,"Mortdale","NSW",35.99,"CUS-1462656821",2018-08-02 01:52:49
"1","ACC-37709441","SALES-POS","Charles",128.21,2018-08-02,"M",18,"Arundel","QLD",32.06,"CUS-3336454548",2018-08-02 02:16:45
"1","ACC-1334819143","SALES-POS","Christopher",58111.04,2018-08-02,"M",33,"Box Hill South","VIC",43.7,"CUS-3117610635",2018-08-02 02:43:47
"1","ACC-3021093232","SALES-POS","Melissa",128.76,2018-08-02,"F",30,"Melbourne","VIC",36.07,"CUS-55310383",2018-08-02 03:57:08
"1","ACC-3689607373","SALES-POS","Virginia",1066.35,2018-08-02,"F",20,"Beechboro","WA",8.08,"CUS-127297539",2018-08-02 04:26:29
"1","ACC-154431271","SALES-POS","Lori",15.93,2018-08-02,"F",18,"Southbank","VIC",22.49,"CUS-3702001629",2018-08-02 04:53:30
"1","ACC-4281711154","POS","Eric",35305.32,2018-08-02,"M",42,"Bairnsdale","VIC",17.04,"CUS-3151318058",2018-08-02 06:28:34
"0","ACC-847145727","POS","Michael",50671.14,2018-08-02,"M",19,"West Perth","WA",1692.56,"CUS-1609060617",2018-08-02 07:20:44
"1","ACC-1037050564","POS","Rhonda",1917.11,2018-08-02,"F",40,"Capalaba","QLD",46.83,"CUS-1614226872",2018-08-02 07:57:46
"1","ACC-2828321672","POS","Stephanie",463.96,2018-08-02,"F",53,"Clayfield","QLD",6.48,"CUS-1005756958",2018-08-02 08:08:02
"1","ACC-3879258709","POS","Natasha",186236.3,2018-08-02,"F",40,"Belrose","NSW",108.65,"CUS-527400765",2018-08-02 08:16:34
"0","ACC-3954677887","POS","Ruth",17.44,2018-08-02,"F",47,"Kingsley","WA",20.87,"CUS-3716701010",2018-08-02 08:25:07
"1","ACC-4065652575","SALES-POS","Lucas",2293.86,2018-08-02,"M",21,"Adelaide","SA",41.49,"CUS-1117979751",2018-08-02 08:33:40
"1","ACC-1598451071","SALES-POS","Diana",968.15,2018-08-02,"F",26,"Burleigh Heads","QLD",8.11,"CUS-2487424745",2018-08-02 08:42:13
"1","ACC-2153562714","POS","Linda",847.49,2018-08-02,"F",24,"Warwick","WA",12.97,"CUS-423725039",2018-08-02 08:50:46
"1","ACC-354106658","SALES-POS","Christine",4428.26,2018-08-02,"F",39,"Melbourne","VIC",46.12,"CUS-2376382098",2018-08-02 08:59:18
"0","ACC-3084464802","POS","Susan",842.07,2018-08-02,"F",19,"Wollert","VIC",25.7,"CUS-1928710999",2018-08-02 09:03:53
"1","ACC-4163822186","SALES-POS","Karen",2986.34,2018-08-02,"F",26,"Kidman Park","SA",35.6,"CUS-2630892467",2018-08-02 09:08:08
"1","ACC-1037050564","POS","Rhonda",1872.72,2018-08-02,"F",40,"Kalbarri","WA",44.39,"CUS-1614226872",2018-08-02 09:12:22
"1","ACC-1037050564","POS","Rhonda",1845.04,2018-08-02,"F",40,"Greenslopes","QLD",27.68,"CUS-1614226872",2018-08-02 09:16:36
"1","ACC-1037050564","POS","Rhonda",1826.34,2018-08-02,"F",40,"Coffs Harbour","NSW",18.7,"CUS-1614226872",2018-08-02 09:25:05
"1","ACC-1037050564","SALES-POS","Rhonda",1816.34,2018-08-02,"F",40,"Caffey","QLD",10,"CUS-1614226872",2018-08-02 09:29:19
"1","ACC-847145727","SALES-POS","Michael",50657.65,2018-08-02,"M",19,"Perth","WA",13.49,"CUS-1609060617",2018-08-02 09:33:33
"0","ACC-1788473090","SALES-POS","Rachael",344.8,2018-08-02,"F",21,"Doncaster","VIC",20.26,"CUS-134193016",2018-08-02 09:37:47
"1","ACC-1598451071","POS","Diana",956.92,2018-08-02,"F",26,"Labrador","QLD",11.23,"CUS-2487424745",2018-08-02 09:46:16
"1","ACC-1279356312","POS","Tyler",1035.55,2018-08-02,"M",44,"Rye","VIC",31.81,"CUS-1892177589",2018-08-02 09:50:30
"1","ACC-1598451071","SALES-POS","Diana",949.22,2018-08-02,"F",26,"Ormeau","QLD",7.7,"CUS-2487424745",2018-08-02 09:54:44
"1","ACC-4065652575","SALES-POS","Lucas",2285.02,2018-08-02,"M",21,"Melville","WA",8.84,"CUS-1117979751",2018-08-02 09:58:58
"1","ACC-721712940","POS","Andrew",49743.84,2018-08-02,"M",78,"East Melbourne","VIC",12.37,"CUS-1646183815",2018-08-02 10:12:40
"1","ACC-559365433","SALES-POS","Mary",159.66,2018-08-02,"F",64,"Mount Beauty","VIC",31.5,"CUS-1654129794",2018-08-02 10:29:20
"1","ACC-4258502723","SALES-POS","Kimberly",521.73,2018-08-02,"F",24,"Narre Warren","VIC",17.12,"CUS-3378712515",2018-08-02 10:46:00
"1","ACC-3485804958","POS","Jessica",16373.36,2018-08-02,"F",34,"Unley","SA",21.42,"CUS-1196156254",2018-08-02 11:00:54
"1","ACC-1598451071","POS","Diana",941.23,2018-08-02,"F",26,"Runaway Bay","QLD",7.99,"CUS-2487424745",2018-08-02 11:06:35
"1","ACC-1598451071","SALES-POS","Diana",931.76,2018-08-02,"F",26,"Byron Bay","NSW",9.47,"CUS-2487424745",2018-08-02 11:12:16
"1","ACC-37709441","POS","Charles",107.79,2018-08-02,"M",18,"Labrador","QLD",20.42,"CUS-3336454548",2018-08-02 11:29:19
"1","ACC-1516130869","POS","Jessica",96.25,2018-08-02,"F",21,"Darwin City","NT",8.15,"CUS-325142416",2018-08-02 11:35:00
"1","ACC-1973887809","POS","Antonio",1742.72,2018-08-02,"M",26,"Fremantle","WA",24.65,"CUS-1646621553",2018-08-02 11:40:40
"0","ACC-211792489","POS","Jacqueline",3047.08,2018-08-02,"F",30,"Goulburn","NSW",70.5,"CUS-497688347",2018-08-02 11:46:21
"1","ACC-414431115","SALES-POS","Amy",4.41,2018-08-02,"F",43,"Eden","NSW",23.45,"CUS-2599279756",2018-08-02 11:52:02
"1","ACC-4281711154","POS","Eric",35254.08,2018-08-02,"M",42,"Heyfield","VIC",51.24,"CUS-3151318058",2018-08-02 11:57:43
"1","ACC-211792489","POS","Jacqueline",3008.22,2018-08-02,"F",30,"Uraidla","SA",38.86,"CUS-497688347",2018-08-02 12:10:00
"1","ACC-1438600314","SALES-POS","Maria",1903.7,2018-08-02,"F",35,"Yass","NSW",32.97,"CUS-2650223890",2018-08-02 12:26:40
"0","ACC-964839203","POS","Michael",27898.89,2018-08-02,"M",21,"Leopold","VIC",24.17,"CUS-2059096722",2018-08-02 12:43:20
"1","ACC-2249586092","SALES-POS","Edward",4158.41,2018-08-02,"M",19,"Kardinya","WA",13.75,"CUS-443776336",2018-08-02 13:00:00
"1","ACC-2897221629","SALES-POS","Scott",86.96,2018-08-02,"M",23,"Narellan","NSW",7.49,"CUS-511326734",2018-08-02 13:18:10
"1","ACC-37709441","SALES-POS","Charles",92.48,2018-08-02,"M",18,"Mermaid Waters","QLD",15.31,"CUS-3336454548",2018-08-02 13:36:21
"0","ACC-3326339947","POS","Eric",3130,2018-08-02,"M",22,"Lewisham","NSW",28.51,"CUS-326006476",2018-08-02 13:54:32
"1","ACC-1973887809","POS","Antonio",1712.39,2018-08-02,"M",26,"Leederville","WA",30.33,"CUS-1646621553",2018-08-02 14:10:03
"1","ACC-2681137560","SALES-POS","Nathaniel",14.26,2018-08-02,"M",31,"Ryde","NSW",20.07,"CUS-2083971310",2018-08-02 14:15:58
"0","ACC-2920611728","POS","Tyler",1948.27,2018-08-02,"M",69,"Melbourne","VIC",20.78,"CUS-1388323263",2018-08-02 14:21:53
"1","ACC-3827517394","POS","Craig",30130.77,2018-08-02,"M",28,"Lavender Bay","NSW",32.67,"CUS-2663907001",2018-08-02 14:27:48
"1","ACC-182446574","POS","Tonya",66.15,2018-08-02,"F",27,"Northgate","QLD",50.93,"CUS-3026014945",2018-08-02 14:33:43
"1","ACC-3084464802","SALES-POS","Susan",823.87,2018-08-02,"F",19,"Sunbury","VIC",18.2,"CUS-1928710999",2018-08-02 14:45:33
"1","ACC-4281711154","POS","Eric",35238.13,2018-08-02,"M",42,"Glengala","VIC",15.95,"CUS-3151318058",2018-08-02 14:51:28
"1","ACC-1037050564","SALES-POS","Rhonda",1791,2018-08-02,"F",40,"Browns Plains","QLD",25.34,"CUS-1614226872",2018-08-02 14:57:23
"1","ACC-1788473090","SALES-POS","Rachael",332.57,2018-08-02,"F",21,"Doncaster","VIC",12.23,"CUS-134193016",2018-08-02 15:03:41
"1","ACC-3536132544","POS","Heather",1550.27,2018-08-02,"F",41,"Parkville","VIC",107.67,"CUS-2348881191",2018-08-02 15:10:15
"1","ACC-2674800293","SALES-POS","Elizabeth",24268.73,2018-08-02,"F",50,"Mckinnon","VIC",10.13,"CUS-2977593493",2018-08-02 15:16:50
"0","ACC-1903037542","SALES-POS","Jeffrey",1789.31,2018-08-02,"M",30,"Toowoomba","QLD",22.16,"CUS-860700529",2018-08-02 15:23:25
"1","ACC-3941181087","SALES-POS","Paul",1014.72,2018-08-02,"M",25,"Gooseberry Hill","WA",41.66,"CUS-3989008654",2018-08-02 15:29:59
"1","ACC-819621312","SALES-POS","Michele",1236.27,2018-08-02,"F",30,"Sydney","NSW",8.18,"CUS-1271030853",2018-08-02 15:36:34
"1","ACC-847145727","SALES-POS","Michael",50637.85,2018-08-02,"M",19,"Ravenswood","WA",19.8,"CUS-1609060617",2018-08-02 15:43:09
"1","ACC-2153562714","SALES-POS","Linda",842.78,2018-08-02,"F",24,"Subiaco","WA",4.71,"CUS-423725039",2018-08-02 15:49:44
"1","ACC-1973887809","SALES-POS","Antonio",1663.59,2018-08-02,"M",26,"Claremont","WA",48.8,"CUS-1646621553",2018-08-02 15:56:18
"1","ACC-3326339947","POS","Eric",2866.56,2018-08-02,"M",22,"Parramatta","NSW",263.44,"CUS-326006476",2018-08-02 16:07:12
"1","ACC-574997646","POS","Mackenzie",2.38,2018-08-02,"F",18,"Punchbowl","NSW",36.17,"CUS-586638664",2018-08-02 16:23:36
"1","ACC-1788473090","POS","Rachael",326.94,2018-08-02,"F",21,"Mitcham","VIC",5.63,"CUS-134193016",2018-08-02 16:39:59
"0","ACC-588564840","POS","Isaiah",8144.24,2018-08-02,"M",23,"Kadina","SA",44.88,"CUS-1462656821",2018-08-02 16:56:23
"1","ACC-1243371644","POS","Gregory",661.06,2018-08-02,"M",42,"Wollongong","NSW",28.16,"CUS-3904958894",2018-08-02 17:07:29
"1","ACC-2890243754","SALES-POS","Joseph",200.94,2018-08-02,"M",37,"Yamba","NSW",4.99,"CUS-2695611575",2018-08-02 17:17:06
"1","ACC-1243371644","POS","Gregory",636.59,2018-08-02,"M",42,"Brookvale","NSW",24.47,"CUS-3904958894",2018-08-02 17:36:20
"1","ACC-4274272854","SALES-POS","Timothy",2658.88,2018-08-02,"M",20,"Collingwood","VIC",7.24,"CUS-2484453271",2018-08-02 17:45:57
"1","ACC-964839203","SALES-POS","Michael",27884.42,2018-08-02,"M",21,"Wodonga","VIC",14.47,"CUS-2059096722",2018-08-02 17:55:34
"1","ACC-1344825761","SALES-POS","Sarah",13583.79,2018-08-02,"F",46,"North Sydney","NSW",97.95,"CUS-1499065773",2018-08-02 18:11:59
"0","ACC-2673069055","POS","Richard",11424.58,2018-08-02,"M",24,"Kelvin Grove","QLD",13.93,"CUS-51506836",2018-08-02 18:56:26
"1","ACC-1243371644","SALES-POS","Gregory",605.9,2018-08-02,"M",42,"Northmead","NSW",30.69,"CUS-3904958894",2018-08-02 19:07:18
"1","ACC-414431115","POS","Amy",1608.28,2018-08-02,"F",43,"Mansfield","VIC",26.49,"CUS-2599279756",2018-08-02 19:15:59
"1","ACC-4059612845","POS","Jonathan",50192.66,2018-08-02,"M",38,"Darwin City","NT",190.5,"CUS-495599312",2018-08-02 19:24:41
"1","ACC-3827517394","SALES-POS","Craig",30102.06,2018-08-02,"M",28,"Moorebank","NSW",28.71,"CUS-2663907001",2018-08-02 19:33:23
"1","ACC-3021093232","SALES-POS","Melissa",105.89,2018-08-02,"F",30,"West Perth","WA",22.87,"CUS-55310383",2018-08-02 19:42:05
"0","ACC-1890605467","POS","Alexander",5748.22,2018-08-02,"M",38,"Chippendale","NSW",40.31,"CUS-1478398256",2018-08-02 19:50:46
"1","ACC-53508546","SALES-POS","Kimberly",996.97,2018-08-02,"F",35,"Northmead","NSW",70.28,"CUS-72755508",2018-08-02 19:59:28
"1","ACC-847145727","SALES-POS","Michael",50590.99,2018-08-02,"M",19,"Ringwood","VIC",46.86,"CUS-1609060617",2018-08-02 20:15:39
"1","ACC-1424176027","POS","Donald",485.88,2018-08-02,"M",22,"Liverpool","NSW",23.25,"CUS-3431016847",2018-08-02 20:32:19
"1","ACC-2673069055","POS","Richard",11366.83,2018-08-02,"M",24,"Sydney","NSW",57.75,"CUS-51506836",2018-08-02 20:48:59
"0","ACC-3317636250","POS","Kenneth",147.58,2018-08-02,"M",35,"Kalbarri","WA",42.94,"CUS-2738291516",2018-08-02 21:14:43
"1","ACC-2828321672","SALES-POS","Stephanie",424.01,2018-08-02,"F",53,"Rangeville","QLD",39.95,"CUS-1005756958",2018-08-02 21:36:42
"1","ACC-3317636250","SALES-POS","Kenneth",119.37,2018-08-02,"M",35,"Meadowbrook","QLD",28.21,"CUS-2738291516",2018-08-02 21:47:41
"1","ACC-2970114956","SALES-POS","Robert",6708.49,2018-08-02,"M",26,"Saint Albans","VIC",14.36,"CUS-880898248",2018-08-02 21:58:40
"1","ACC-1349834573","SALES-POS","Matthew",6879.81,2018-08-02,"M",39,"Hoppers Crossing","VIC",74.96,"CUS-1790886359",2018-08-02 22:17:15
"1","ACC-3827517394","SALES-POS","Craig",30056.51,2018-08-02,"M",28,"Beecroft","NSW",45.55,"CUS-2663907001",2018-08-02 22:36:51
"1","ACC-1037050564","POS","Rhonda",1697.39,2018-08-02,"F",40,"Elsternwick","VIC",60.61,"CUS-1614226872",2018-08-02 22:56:28
"1","ACC-847145727","POS","Michael",50459.08,2018-08-02,"M",19,"Broken Hill","NSW",131.91,"CUS-1609060617",2018-08-02 23:12:14
"1","ACC-2270192619","POS","Darren",6619.25,2018-08-02,"M",20,"Glenelg East","SA",11.57,"CUS-2110742437",2018-08-02 23:27:09
"1","ACC-1903037542","SALES-POS","Jeffrey",1768.68,2018-08-02,"M",30,"Battery Hill","QLD",20.63,"CUS-860700529",2018-08-02 23:42:05
"1","ACC-4281711154","SALES-POS","Eric",35205.33,2018-08-02,"M",42,"Lilydale","VIC",32.8,"CUS-3151318058",2018-08-02 23:57:00
